szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
indian ; 1 ; 15 ; 194 ; 0 ; 156 ; 1.5 ; 0.5 ; 30.7936 ; 0.168 ; 213.62179487179486 ; 0 ; 0 ; 0
indian ; 2 ; 15 ; 180 ; 0 ; 155 ; 1.5208333333333333 ; 0.6 ; 32.1304 ; 0.1824 ; 236.40645161290323 ; 0 ; 0 ; 0
indian ; 3 ; 15 ; 193 ; 0 ; 150 ; 1.5963302752293578 ; 0.6 ; 30.9216 ; 0.1768 ; 218.66666666666666 ; 0 ; 0 ; 0
indian ; 4 ; 15 ; 195 ; 0 ; 155 ; 1.5595238095238095 ; 0.4 ; 31.3592 ; 0.1256 ; 216.99354838709678 ; 0 ; 0 ; 0
indian ; 5 ; 15 ; 167 ; 0 ; 146 ; 1.5106382978723405 ; 0.4 ; 28.0936 ; 0.116 ; 223.65753424657535 ; 0 ; 0 ; 0
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
constant ; 1 ; 15 ; 188 ; 0 ; 146 ; 8.902 ; 11.9 ; 36.3304 ; 4.3312 ; 257.8767123287671 ; 15 ; 15 ; 15
constant ; 2 ; 15 ; 203 ; 0 ; 155 ; 8.357873210633947 ; 11.6 ; 35.86 ; 4.144 ; 235.95483870967743 ; 15 ; 15 ; 15
constant ; 3 ; 15 ; 196 ; 0 ; 142 ; 8.459259259259259 ; 14.5 ; 40.684 ; 5.8896 ; 274.59859154929575 ; 15 ; 15 ; 15
constant ; 4 ; 15 ; 185 ; 0 ; 137 ; 8.85501066098081 ; 12.3 ; 32.7456 ; 4.0232 ; 245.13868613138686 ; 15 ; 15 ; 15
constant ; 5 ; 15 ; 207 ; 0 ; 165 ; 8.391061452513966 ; 16.2 ; 43.8192 ; 7.08 ; 284.7939393939394 ; 15 ; 15 ; 15
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
traffic ; 1 ; 15 ; 181 ; 0 ; 142 ; 5.557603686635945 ; 7.1 ; 34.7776 ; 2.4552 ; 257.22535211267603 ; 15 ; 15 ; 15
traffic ; 2 ; 15 ; 168 ; 0 ; 140 ; 5.654605263157895 ; 5 ; 30.0552 ; 1.4928 ; 242.95714285714286 ; 15 ; 15 ; 15
traffic ; 3 ; 15 ; 199 ; 0 ; 163 ; 6.301449275362319 ; 5.9 ; 34.4024 ; 2.0296 ; 228.0245398773006 ; 15 ; 15 ; 15
traffic ; 4 ; 15 ; 187 ; 0 ; 154 ; 7.142857142857143 ; 6.7 ; 35.6344 ; 2.376 ; 256.95454545454544 ; 15 ; 15 ; 15
traffic ; 5 ; 15 ; 204 ; 0 ; 165 ; 5.571428571428571 ; 6.3 ; 36.992 ; 2.348 ; 243.44242424242424 ; 15 ; 15 ; 15
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
cooperativ ; 1 ; 15 ; 179 ; 0 ; 135 ; 6.1172638436482085 ; 6.2 ; 30.62 ; 1.8832 ; 237.84444444444443 ; 15 ; 15 ; 15
cooperativ ; 2 ; 15 ; 169 ; 0 ; 138 ; 6.594512195121951 ; 6.7 ; 31.172 ; 2.0832 ; 243.93478260869566 ; 15 ; 15 ; 15
cooperativ ; 3 ; 15 ; 189 ; 0 ; 151 ; 6.43717277486911 ; 6.9 ; 36.188 ; 2.5072 ; 252.2980132450331 ; 15 ; 15 ; 15
cooperativ ; 4 ; 15 ; 187 ; 0 ; 130 ; 6.058608058608058 ; 6.2 ; 33.0448 ; 2.0568 ; 243.6153846153846 ; 15 ; 15 ; 15
cooperativ ; 5 ; 15 ; 177 ; 0 ; 146 ; 6.276666666666666 ; 5.7 ; 32.356 ; 1.856 ; 241.84931506849315 ; 15 ; 15 ; 15
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
indian ; 1 ; 30 ; 352 ; 1 ; 281 ; 1.5936599423631124 ; 1.6 ; 62.4792 ; 0.9952 ; 235.17081850533808 ; 0 ; 0 ; 0
indian ; 2 ; 30 ; 390 ; 2 ; 310 ; 1.796959826275787 ; 2.3 ; 66.904 ; 1.548 ; 234.33225806451614 ; 0 ; 0 ; 0
indian ; 3 ; 30 ; 380 ; 1 ; 306 ; 1.7102040816326531 ; 1.9 ; 64.9984 ; 1.2616 ; 228.59150326797385 ; 0 ; 0 ; 0
indian ; 4 ; 30 ; 390 ; 1 ; 300 ; 1.5752773375594296 ; 2.4 ; 65.0728 ; 1.568 ; 225.22666666666666 ; 0 ; 0 ; 0
indian ; 5 ; 30 ; 380 ; 0 ; 291 ; 1.6420150053590568 ; 2.6 ; 65.6488 ; 1.7032 ; 233.340206185567 ; 0 ; 0 ; 0
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
constant ; 1 ; 30 ; 361 ; 13 ; 248 ; 7.318533467877565 ; 36.8 ; 87.0248 ; 32.0656 ; 311.2943548387097 ; 15 ; 15 ; 15
constant ; 2 ; 30 ; 357 ; 36 ; 238 ; 6.727331816704583 ; 40.1 ; 88.836 ; 35.6152 ; 305.0546218487395 ; 15 ; 15 ; 15
constant ; 3 ; 30 ; 346 ; 43 ; 234 ; 6.5569375345494745 ; 44.2 ; 90.624 ; 40.1008 ; 316.38034188034186 ; 15 ; 15 ; 15
constant ; 4 ; 30 ; 332 ; 38 ; 211 ; 7.326048434731247 ; 46.1 ; 87.7904 ; 40.4744 ; 328.9526066350711 ; 15 ; 15 ; 15
constant ; 5 ; 30 ; 336 ; 10 ; 230 ; 7.1875 ; 39.3 ; 75.716 ; 29.7704 ; 270.0826086956522 ; 15 ; 15 ; 15
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
traffic ; 1 ; 30 ; 373 ; 14 ; 251 ; 5.462196373588779 ; 29 ; 81.5168 ; 23.672 ; 287.1513944223108 ; 15 ; 15 ; 15
traffic ; 2 ; 30 ; 361 ; 7 ; 264 ; 5.314696485623003 ; 28.4 ; 81.8128 ; 23.2648 ; 289.67424242424244 ; 15 ; 15 ; 15
traffic ; 3 ; 30 ; 372 ; 4 ; 268 ; 4.386070507308684 ; 23.7 ; 73.3352 ; 17.3656 ; 268.8768656716418 ; 15 ; 15 ; 15
traffic ; 4 ; 30 ; 378 ; 12 ; 278 ; 6.070700636942675 ; 29.3 ; 84.7032 ; 24.7816 ; 292.7589928057554 ; 15 ; 15 ; 15
traffic ; 5 ; 30 ; 367 ; 5 ; 257 ; 5.693115942028985 ; 28.9 ; 82.5896 ; 23.8712 ; 288.81322957198444 ; 15 ; 15 ; 15
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
cooperativ ; 1 ; 30 ; 341 ; 6 ; 243 ; 6.083676268861454 ; 27.6 ; 71.1496 ; 19.6632 ; 271.037037037037 ; 15 ; 15 ; 15
cooperativ ; 2 ; 30 ; 366 ; 17 ; 247 ; 5.497254118821767 ; 35.6 ; 89.5648 ; 31.8976 ; 320.37651821862346 ; 15 ; 15 ; 15
cooperativ ; 3 ; 30 ; 360 ; 16 ; 258 ; 7.037174721189591 ; 27.5 ; 75.8328 ; 20.8208 ; 281.8914728682171 ; 15 ; 15 ; 15
cooperativ ; 4 ; 30 ; 364 ; 20 ; 256 ; 6.069364161849711 ; 31.1 ; 81.4992 ; 25.3792 ; 295.81640625 ; 15 ; 15 ; 15
cooperativ ; 5 ; 30 ; 350 ; 8 ; 251 ; 6.916989247311828 ; 26.5 ; 74.5536 ; 19.7392 ; 286.25099601593627 ; 15 ; 15 ; 15
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
indian ; 1 ; 45 ; 555 ; 33 ; 428 ; 2.0605829391118573 ; 14.8 ; 107.5568 ; 15.9488 ; 255.49065420560748 ; 0 ; 0 ; 0
indian ; 2 ; 45 ; 546 ; 14 ; 422 ; 1.8775100401606426 ; 10.9 ; 103.5912 ; 11.2592 ; 255.85071090047393 ; 0 ; 0 ; 0
indian ; 3 ; 45 ; 528 ; 25 ; 408 ; 2.251588097626212 ; 15.2 ; 102.4776 ; 15.5496 ; 258.3921568627451 ; 0 ; 0 ; 0
indian ; 4 ; 45 ; 528 ; 36 ; 417 ; 1.9936939926983073 ; 13.9 ; 101.7272 ; 14.108 ; 255.82254196642685 ; 0 ; 0 ; 0
indian ; 5 ; 45 ; 528 ; 14 ; 408 ; 2.104001322751323 ; 14.6 ; 101.8648 ; 14.8792 ; 260.74264705882354 ; 0 ; 0 ; 0
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
constant ; 1 ; 45 ; 382 ; 194 ; 270 ; 6.1375690607734805 ; 44.3 ; 100.5216 ; 44.4928 ; 337.4555555555556 ; 15 ; 15 ; 15
constant ; 2 ; 45 ; 359 ; 211 ; 244 ; 6.312187312387432 ; 46.7 ; 101.4672 ; 47.3536 ; 352.72131147540983 ; 15 ; 15 ; 15
constant ; 3 ; 45 ; 362 ; 169 ; 248 ; 6.483843717001056 ; 46.3 ; 97.6608 ; 45.216 ; 335.0040322580645 ; 15 ; 15 ; 15
constant ; 4 ; 45 ; 363 ; 207 ; 253 ; 6.284678496470139 ; 46 ; 99.3624 ; 45.6792 ; 347.600790513834 ; 15 ; 15 ; 15
constant ; 5 ; 45 ; 370 ; 205 ; 255 ; 6.099781789327515 ; 46.8 ; 98.3056 ; 46.0496 ; 326.7725490196078 ; 15 ; 15 ; 15
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
traffic ; 1 ; 45 ; 434 ; 138 ; 318 ; 4.672085974097548 ; 37.6 ; 103.6296 ; 38.9224 ; 318.0660377358491 ; 15 ; 15 ; 15
traffic ; 2 ; 45 ; 425 ; 121 ; 313 ; 4.854651162790698 ; 38.1 ; 102.0392 ; 38.8432 ; 318.95846645367413 ; 15 ; 15 ; 15
traffic ; 3 ; 45 ; 414 ; 153 ; 302 ; 5.210266360910214 ; 36.2 ; 100.5464 ; 36.44 ; 317.9139072847682 ; 15 ; 15 ; 15
traffic ; 4 ; 45 ; 424 ; 101 ; 306 ; 4.518388545760809 ; 38.1 ; 105.0856 ; 40.0656 ; 325.1372549019608 ; 15 ; 15 ; 15
traffic ; 5 ; 45 ; 424 ; 119 ; 303 ; 4.828 ; 36.2 ; 100.8608 ; 36.4984 ; 304.62046204620464 ; 15 ; 15 ; 15
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
cooperativ ; 1 ; 45 ; 383 ; 170 ; 271 ; 6.33668746226605 ; 39.2 ; 96.7312 ; 37.888 ; 337.8081180811808 ; 15 ; 15 ; 15
cooperativ ; 2 ; 45 ; 396 ; 189 ; 282 ; 5.515960912052117 ; 40.3 ; 101.6872 ; 40.9936 ; 336.71985815602835 ; 15 ; 15 ; 15
cooperativ ; 3 ; 45 ; 388 ; 166 ; 282 ; 5.940496822645869 ; 38.4 ; 97.1384 ; 37.2648 ; 333.07801418439715 ; 15 ; 15 ; 15
cooperativ ; 4 ; 45 ; 390 ; 174 ; 286 ; 6.515991948110043 ; 37.5 ; 94.8792 ; 35.6152 ; 320.86713286713285 ; 15 ; 15 ; 15
cooperativ ; 5 ; 45 ; 369 ; 200 ; 259 ; 6.375783628873365 ; 42.4 ; 99.5384 ; 42.2216 ; 366.96138996138995 ; 15 ; 15 ; 15
